Imputation_,resilient,EFFORT1,ESCS,UNDREM,METASUM,METASPAM,DISCLIMA,TEACHSUP,DIRINS,PERFEED,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,MASTGOAL,DISCRIM,BELONG,BEINGBULLIED,EMOSUPP
0,1,10,-1.2738,1.5,.98,.42,1.4022,1.314,.4301,-.3253,2.0871,2.0073,1.8245,-.6278,-.825,.9065,-.4143,.0158,1.6762,1.0844,.4352,1.8164,1.8905,.4055,.5012,1.8524,-1.1549,.0914,-.7823,-.5553
0,0,5,-1.4809, ,.59,-.04,2.0345,-.1719,-.5072,-.3253,2.0871,-.5786,.1744,1.0387,-.4419,.9065,.2705,2.0378,.6012,1.0844,2.0054,1.1448,1.0671,-.3121,-.5928,1.8524,-1.1549,.4951,.2907,-.5553
0,0,10,-2.2287,-1.64,-1.72,-1.41,-1.0963,1.314,1.8202,2.0165,2.0871,2.0073,1.8245,.1372,-2.4403,-1.8876,.2705,-.6142,-.9391,-.6583,-.9792,-1.3692,-.687,-.9827,-.5928,-1.3162,.5881,-.9879,2.07,.739
0,0,8,-1.9801,-.6,-1.72,-.04,-.0424,-.3971,-.5794,.2012,-.62,-.1716,-.2934,.1984,-.5485,-.0362,-1.272,.6912,.6012,-.6583,-.6888,-.772,.3335,.2621,-.5928,-1.3162,.5881,-.0553,-.7823,-1.7606
0,0,4,-1.6936,-.6,-1.72,-1.41,-1.4276,-1.1481,-1.0988,-.3253,-2.3003,-.5786,-.6413,.1816,.1222,1.2421,1.6524,.6912,-.9391,-1.6139,.1956,-1.034,-1.8939,.2621,-.5928,-.4347,.5881,-.6869,.8233,.739
0,0,2,-1.5091,-1.64,-1.72,-1.41,.396,-1.1481,-1.0988,.7743,-.62,.4572,.1744,-.2704,-.4089,.409,.2705,.6912,.6012,-.6583,-.8279,-.1015,.4637,.2621,-.5928,-.4347,.5881,-.3184,-.7823,.0721
0,0,5,-1.3677,-.94,-1.72,-1.41,2.0345,-.3971,-1.3843,-1.6391,.5102,-.5786,.1744,-.2704,-2.4403,2.7752,1.0558,-1.9892,-.9391,-.6583,-2.345,-.1015,.4637,.2621,-.5928,-.4347,.5881,-.4321,-.7823,.739
0,0,8,-1.4261, ,-1.72,-.5,-.582,-1.415,-1.3309,-.0363,-.62,-1.0467,-1.0615,-2.7114,-2.4403,2.7752,1.6524,2.0378,-.1855,-1.8152,1.2643,1.8164,1.8905,.9269,-.5928,-1.7872,1.3527,-1.0344,1.1625,-1.7606
0,0,5,-1.5171,-1.64,-1.34,-.5,2.0345,1.314,1.8202,2.0165,.5102,2.0073,.1744,-.4556,-.5485,.9065,.2705,-.6142,-.9391,-.6583,.1956,-.1015,-.2006,.2621,-.5928,-1.3162,.5881,-.9879,-.7823,.739
0,0,7,-2.4544,1.15,-.95,-1.41,.3264,.4394,1.8202,2.0165,1.3517,.7368,.6797,-.2704,-1.0985,.6313,1.1904,2.0378,-.9391,-.6583,-.3907,1.1448,1.8905,1.7411,-.5928,.3468,-1.1549,.0348,-.7823,.739
0,0,6,-2.4145,1.15,.59,-.5,-.0424,-.5488,-.3007,-.3253,.2464,-.5786,.1744,.638,-.4089,-.0697,-1.272,.6912,.6012,-.6583,-.4112,.6291,1.8905,-.9827,-.5928,-.4347,.5881,-.6464,1.2618,-.6796
0,0,7,-1.3063,-.6,-.57,-1.41,-1.0963,-.2023,-.6245,.7743,.5102,-.5786,-.2934,.2363,.1222,.409,.2705,.6912,-.1855,-.6583,.4352,-.1015,-.2006,.2621,-.5928,.5761,-1.1549,.4846,-.7823,.0721
